camera,panel_a_reused,reason
Canon 1DMarkIII,False,AM3 evidence does not contain a complete compatible metadata ledger; rerun required
Canon 20D,False,AM3 evidence does not contain a complete compatible metadata ledger; rerun required
Canon 40D,False,AM3 evidence does not contain a complete compatible metadata ledger; rerun required
Canon 500D,False,AM3 evidence does not contain a complete compatible metadata ledger; rerun required
Canon 50D,False,AM3 evidence does not contain a complete compatible metadata ledger; rerun required
Canon 5DMarkII,False,AM3 evidence does not contain a complete compatible metadata ledger; rerun required
Canon 600D,False,AM3 evidence does not contain a complete compatible metadata ledger; rerun required
Canon 60D,False,AM3 evidence does not contain a complete compatible metadata ledger; rerun required
Hasselblad H2,False,AM3 evidence does not contain a complete compatible metadata ledger; rerun required
Nikon D3X,False,AM3 evidence does not contain a complete compatible metadata ledger; rerun required
Nikon D200,False,AM3 evidence does not contain a complete compatible metadata ledger; rerun required
Nikon D3,False,AM3 evidence does not contain a complete compatible metadata ledger; rerun required
Nikon D300s,False,AM3 evidence does not contain a complete compatible metadata ledger; rerun required
Nikon D40,False,AM3 evidence does not contain a complete compatible metadata ledger; rerun required
Nikon D50,False,AM3 evidence does not contain a complete compatible metadata ledger; rerun required
Nikon D5100,False,AM3 evidence does not contain a complete compatible metadata ledger; rerun required
Nikon D700,False,AM3 evidence does not contain a complete compatible metadata ledger; rerun required
Nikon D80,False,AM3 evidence does not contain a complete compatible metadata ledger; rerun required
Nikon D90,False,AM3 evidence does not contain a complete compatible metadata ledger; rerun required
Pentax K-5,False,AM3 evidence does not contain a complete compatible metadata ledger; rerun required
Point Grey Grasshopper2 14S5C,False,AM3 evidence does not contain a complete compatible metadata ledger; rerun required
Phase One,False,AM3 evidence does not contain a complete compatible metadata ledger; rerun required
