case_id,model_id,patch_id,finite,input_shape,output_shape
100037382,B1,P01,True,3x256x256,2x256x256
100037382,B1,P02,True,3x256x256,2x256x256
100037382,B1,P03,True,3x256x256,2x256x256
100037382,B1,P04,True,3x256x256,2x256x256
100037382,B1,P05,True,3x256x256,2x256x256
100037382,B1,P06,True,3x256x256,2x256x256
100037382,B1,P07,True,3x256x256,2x256x256
100037382,B1,P08,True,3x256x256,2x256x256
100037382,B1,P09,True,3x256x256,2x256x256
100037382,B1,P10,True,3x256x256,2x256x256
100037382,B1,P11,True,3x256x256,2x256x256
100037382,B1,P12,True,3x256x256,2x256x256
100037382,B1,P13,True,3x256x256,2x256x256
100037382,B1,P14,True,3x256x256,2x256x256
100037382,B1,P15,True,3x256x256,2x256x256
100037382,B1,P16,True,3x256x256,2x256x256
100037382,B1,P17,True,3x256x256,2x256x256
100037382,B1,P18,True,3x256x256,2x256x256
100037382,B1,P19,True,3x256x256,2x256x256
100037382,B1,P20,True,3x256x256,2x256x256
100643124,B1,P01,True,3x256x256,2x256x256
100643124,B1,P02,True,3x256x256,2x256x256
100643124,B1,P03,True,3x256x256,2x256x256
100643124,B1,P04,True,3x256x256,2x256x256
100643124,B1,P05,True,3x256x256,2x256x256
100643124,B1,P06,True,3x256x256,2x256x256
100643124,B1,P07,True,3x256x256,2x256x256
100643124,B1,P08,True,3x256x256,2x256x256
100643124,B1,P09,True,3x256x256,2x256x256
100643124,B1,P10,True,3x256x256,2x256x256
100643124,B1,P11,True,3x256x256,2x256x256
100643124,B1,P12,True,3x256x256,2x256x256
100643124,B1,P13,True,3x256x256,2x256x256
100643124,B1,P14,True,3x256x256,2x256x256
100643124,B1,P15,True,3x256x256,2x256x256
100643124,B1,P16,True,3x256x256,2x256x256
100643124,B1,P17,True,3x256x256,2x256x256
100643124,B1,P18,True,3x256x256,2x256x256
100643124,B1,P19,True,3x256x256,2x256x256
100643124,B1,P20,True,3x256x256,2x256x256
100960732,B1,P01,True,3x256x256,2x256x256
100960732,B1,P02,True,3x256x256,2x256x256
100960732,B1,P03,True,3x256x256,2x256x256
100960732,B1,P04,True,3x256x256,2x256x256
100960732,B1,P05,True,3x256x256,2x256x256
100960732,B1,P06,True,3x256x256,2x256x256
100960732,B1,P07,True,3x256x256,2x256x256
100960732,B1,P08,True,3x256x256,2x256x256
100960732,B1,P09,True,3x256x256,2x256x256
100960732,B1,P10,True,3x256x256,2x256x256
100960732,B1,P11,True,3x256x256,2x256x256
100960732,B1,P12,True,3x256x256,2x256x256
100960732,B1,P13,True,3x256x256,2x256x256
100960732,B1,P14,True,3x256x256,2x256x256
100960732,B1,P15,True,3x256x256,2x256x256
100960732,B1,P16,True,3x256x256,2x256x256
100960732,B1,P17,True,3x256x256,2x256x256
100960732,B1,P18,True,3x256x256,2x256x256
100960732,B1,P19,True,3x256x256,2x256x256
100960732,B1,P20,True,3x256x256,2x256x256
101044067,B1,P01,True,3x256x256,2x256x256
101044067,B1,P02,True,3x256x256,2x256x256
101044067,B1,P03,True,3x256x256,2x256x256
101044067,B1,P04,True,3x256x256,2x256x256
101044067,B1,P05,True,3x256x256,2x256x256
101044067,B1,P06,True,3x256x256,2x256x256
101044067,B1,P07,True,3x256x256,2x256x256
101044067,B1,P08,True,3x256x256,2x256x256
101044067,B1,P09,True,3x256x256,2x256x256
101044067,B1,P10,True,3x256x256,2x256x256
101044067,B1,P11,True,3x256x256,2x256x256
101044067,B1,P12,True,3x256x256,2x256x256
101044067,B1,P13,True,3x256x256,2x256x256
101044067,B1,P14,True,3x256x256,2x256x256
101044067,B1,P15,True,3x256x256,2x256x256
101044067,B1,P16,True,3x256x256,2x256x256
101044067,B1,P17,True,3x256x256,2x256x256
101044067,B1,P18,True,3x256x256,2x256x256
101044067,B1,P19,True,3x256x256,2x256x256
101044067,B1,P20,True,3x256x256,2x256x256
101295911,B1,P01,True,3x256x256,2x256x256
101295911,B1,P02,True,3x256x256,2x256x256
101295911,B1,P03,True,3x256x256,2x256x256
101295911,B1,P04,True,3x256x256,2x256x256
101295911,B1,P05,True,3x256x256,2x256x256
101295911,B1,P06,True,3x256x256,2x256x256
101295911,B1,P07,True,3x256x256,2x256x256
101295911,B1,P08,True,3x256x256,2x256x256
101295911,B1,P09,True,3x256x256,2x256x256
101295911,B1,P10,True,3x256x256,2x256x256
101295911,B1,P11,True,3x256x256,2x256x256
101295911,B1,P12,True,3x256x256,2x256x256
101295911,B1,P13,True,3x256x256,2x256x256
101295911,B1,P14,True,3x256x256,2x256x256
101295911,B1,P15,True,3x256x256,2x256x256
101295911,B1,P16,True,3x256x256,2x256x256
101295911,B1,P17,True,3x256x256,2x256x256
101295911,B1,P18,True,3x256x256,2x256x256
101295911,B1,P19,True,3x256x256,2x256x256
101295911,B1,P20,True,3x256x256,2x256x256
101377780,B1,P01,True,3x256x256,2x256x256
101377780,B1,P02,True,3x256x256,2x256x256
101377780,B1,P03,True,3x256x256,2x256x256
101377780,B1,P04,True,3x256x256,2x256x256
